GENDER,AGE_GRP,JOB_NM,TRAVEL_TERM,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE,TRAVEL_COMPANIONS_NUM,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK,MAJOR_TRANSPORT,TOTAL_MVMN_WON,MAJOR_ACTIVITY_TYPE,TOTAL_ACTIVITY_WON,TOTAL_WON,TRAVEL_DURATION,SEASON
여,20,학생,1년,50130,50110,26500,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(약),자연 선호(약),자연 선호(중),도시 선호(중),도시 선호(중),광주광역시,전남,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g002178,연인,남자,20대,쇼핑;SNS 인생샷 여행;시티투어,2023-06-14,2023-06-16,시티투어;쇼핑;SNS 인생샷 여행,['자가용(승용/승합/트럭 등등)'],10000.0,['휴식'],0.0717,10000.0717,2,Summer
남,40,전문가 및 관련 종사자,한달,48840,48220,26500,자연 선호(강),자연 선호(강),자연 선호(약),도시 선호(중),중립,자연 선호(중),도시 선호(강),도시 선호(강),대전광역시,전북,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g004485,연인,남자,30대,쇼핑;역사 유적지 방문;역사 유적지 방문;지역 문화예술/공연/전시시설 관람;유흥/오락(나이트라이프);유흥/오락(나이트라이프);교육/체험 프로그램 참가;드라마 촬영지 방문;SNS 인생샷 여행;인플루언서 따라하기 여행;호캉스 여행,2023-07-28,2023-07-30,쇼핑;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,['자가용(승용/승합/트럭 등등)'],32600.0,['체험 활동 / 입장 및 관람'],0.2738,32600.2738,2,Summer
남,20,관리자,1년,46710,45190,47170,자연 선호(중),자연 선호(약),자연 선호(강),중립,도시 선호(중),자연 선호(약),자연 선호(강),도시 선호(강),서울특별시,전남,2인 여행(가족 외),새로운 경험 추구,1,g_g005167,연인,여자,20대,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;역사 유적지 방문",2023-09-07,2023-09-10,SNS 인생샷 여행;신규 여행지 발굴;역사 유적지 방문,['자가용(승용/승합/트럭 등등)'],138400.0,['취식'],0.4502,138400.4502,3,Autumn
여,30,사무 종사자,한달,42150,42210,28710,자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(약),도시 선호(약),자연 선호(중),도시 선호(중),인천광역시,대전,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002887,배우자,여자,30대,쇼핑;시티투어;지역 축제/이벤트 참가;SNS 인생샷 여행;호캉스 여행,2023-07-01,2023-07-03,쇼핑;지역 축제/이벤트 참가;호캉스 여행,['자가용(승용/승합/트럭 등등)'],70000.0,"['쇼핑 / 구매', '취식']",0.1191,70000.1191,2,Summer
남,20,서비스 종사자,한달,42150,50110,26350,자연 선호(중),자연 선호(강),자연 선호(중),중립,도시 선호(중),도시 선호(약),도시 선호(중),도시 선호(약),경기도,충남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g004189,연인,남자,20대,"SNS 인생샷 여행;야외 스포츠, 레포츠 활동;유흥/오락(나이트라이프)",2023-07-18,2023-07-20,"Well-ness 여행;야외 스포츠, 레포츠 활동;SNS 인생샷 여행",['자가용(승용/승합/트럭 등등)'],52083.0,['취식'],0.12045,52083.12045,2,Summer
여,20,학생,한달,50110,30230,50130,자연 선호(약),자연 선호(중),도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),충청북도,대전,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,4,g_g010617,동료,여자,20대,"시티투어;야외 스포츠, 레포츠 활동",2023-08-30,2023-08-31,인플루언서 따라하기 여행;SNS 인생샷 여행;시티투어,['렌터카(승용/승합/버스 등등)'],60400.0,"['기타 활동', '쇼핑 / 구매', '취식']",0.2144,60400.2144,1,Summer
여,20,학생,한달,50110,30230,50130,자연 선호(약),자연 선호(중),도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),충청북도,대전,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,4,g_g010617,동료,여자,20대,"시티투어;야외 스포츠, 레포츠 활동",2023-08-30,2023-08-31,인플루언서 따라하기 여행;SNS 인생샷 여행;시티투어,['렌터카(승용/승합/버스 등등)'],60400.0,"['기타 활동', '쇼핑 / 구매', '취식']",0.2144,60400.2144,1,Summer
여,20,학생,한달,50110,30230,50130,자연 선호(약),자연 선호(중),도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),충청북도,대전,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,4,g_g010617,동료,여자,20대,"시티투어;야외 스포츠, 레포츠 활동",2023-08-30,2023-08-31,인플루언서 따라하기 여행;SNS 인생샷 여행;시티투어,['렌터카(승용/승합/버스 등등)'],60400.0,"['기타 활동', '쇼핑 / 구매', '취식']",0.2144,60400.2144,1,Summer
여,20,학생,한달,50110,30230,50130,자연 선호(약),자연 선호(중),도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),충청북도,대전,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,4,g_g010617,동료,여자,20대,"시티투어;야외 스포츠, 레포츠 활동",2023-08-30,2023-08-31,인플루언서 따라하기 여행;SNS 인생샷 여행;시티투어,['렌터카(승용/승합/버스 등등)'],60400.0,"['기타 활동', '쇼핑 / 구매', '취식']",0.2144,60400.2144,1,Summer
여,50,서비스 종사자,1년,44770,42820,47280,자연 선호(중),중립,도시 선호(강),중립,중립,자연 선호(강),자연 선호(강),도시 선호(약),경기도,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",3,g_g001011,배우자,남자,40대,"야외 스포츠, 레포츠 활동;캠핑",2023-06-04,2023-06-07,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],72000.0,"['쇼핑 / 구매', '취식']",0.327332,72000.327332,3,Summer
여,50,서비스 종사자,1년,44770,42820,47280,자연 선호(중),중립,도시 선호(강),중립,중립,자연 선호(강),자연 선호(강),도시 선호(약),경기도,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",3,g_g001011,자녀,남자,~9세이하,"야외 스포츠, 레포츠 활동;캠핑",2023-06-04,2023-06-07,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],72000.0,"['쇼핑 / 구매', '취식']",0.327332,72000.327332,3,Summer
여,50,서비스 종사자,1년,44770,42820,47280,자연 선호(중),중립,도시 선호(강),중립,중립,자연 선호(강),자연 선호(강),도시 선호(약),경기도,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",3,g_g001011,자녀,여자,10대,"야외 스포츠, 레포츠 활동;캠핑",2023-06-04,2023-06-07,"야외 스포츠, 레포츠 활동;캠핑;신규 여행지 발굴",['자가용(승용/승합/트럭 등등)'],72000.0,"['쇼핑 / 구매', '취식']",0.327332,72000.327332,3,Summer
남,50,사무 종사자,한달,50110,42770,46890,도시 선호(약),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(약),도시 선호(중),자연 선호(중),전라남도,전북,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",3,g_g005581,자녀,남자,~9세이하,SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람,2023-08-19,2023-08-20,역사 유적지 방문;시티투어;지역 문화예술/공연/전시시설 관람,['자가용(승용/승합/트럭 등등)'],8300.0,['취식'],0.048,8300.048,1,Summer
